001  26561 |Loss: 0.000 | Acc: 31.000% 
001  26625 |Loss: 0.000 | Acc: 31.000% 
001  26689 |Loss: 0.000 | Acc: 31.000% 
001  26753 |Loss: 0.000 | Acc: 31.000% 
001  26817 |Loss: 0.000 | Acc: 31.000% 
001  26881 |Loss: 0.000 | Acc: 31.000% 
001  26945 |Loss: 0.000 | Acc: 31.000% 
001  27009 |Loss: 0.000 | Acc: 31.000% 
001  27073 |Loss: 0.000 | Acc: 31.000% 
001  27137 |Loss: 0.000 | Acc: 31.000% 
001  27201 |Loss: 0.000 | Acc: 31.000% 
001  27265 |Loss: 0.000 | Acc: 31.000% 
001  27329 |Loss: 0.000 | Acc: 31.000% 
001  27393 |Loss: 0.000 | Acc: 31.000% 
001  27457 |Loss: 0.000 | Acc: 31.000% 
001  27521 |Loss: 0.000 | Acc: 31.000% 
001  27585 |Loss: 0.000 | Acc: 31.000% 
001  27649 |Loss: 0.000 | Acc: 31.000% 
001  27713 |Loss: 0.000 | Acc: 31.000% 
001  27777 |Loss: 0.000 | Acc: 31.000% 
001  27841 |Loss: 0.000 | Acc: 31.000% 
001  27905 |Loss: 0.000 | Acc: 31.000% 
001  27969 |Loss: 0.000 | Acc: 31.000% 
001  28033 |Loss: 0.000 | Acc: 31.000% 
001  28097 |Loss: 0.000 | Acc: 31.000% 
001  28161 |Loss: 0.000 | Acc: 31.000% 
001  28225 |Loss: 0.000 | Acc: 31.000% 
001  28289 |Loss: 0.000 | Acc: 31.000% 
001  28353 |Loss: 0.000 | Acc: 31.000% 
001  28417 |Loss: 0.000 | Acc: 31.000% 
001  28481 |Loss: 0.000 | Acc: 31.000% 
001  28545 |Loss: 0.000 | Acc: 31.000% 
001  28609 |Loss: 0.000 | Acc: 31.000% 
001  28673 |Loss: 0.000 | Acc: 31.000% 
002  00065 |Loss: 0.590 | Acc: 35.000% 
002  00129 |Loss: 0.009 | Acc: 37.000% 
002  00193 |Loss: 0.005 | Acc: 37.000% 
002  00257 |Loss: 0.003 | Acc: 41.000% 
002  00321 |Loss: 0.002 | Acc: 40.000% 
002  00385 |Loss: 0.002 | Acc: 40.000% 
002  00449 |Loss: 0.002 | Acc: 40.000% 
002  00513 |Loss: 0.001 | Acc: 41.000% 
002  00577 |Loss: 0.001 | Acc: 40.000% 
002  00641 |Loss: 0.001 | Acc: 40.000% 
002  00705 |Loss: 0.001 | Acc: 41.000% 
002  00769 |Loss: 0.001 | Acc: 41.000% 
002  00833 |Loss: 0.001 | Acc: 40.000% 
002  00897 |Loss: 0.001 | Acc: 40.000% 
002  00961 |Loss: 0.001 | Acc: 39.000% 
002  01025 |Loss: 0.001 | Acc: 39.000% 
002  01089 |Loss: 0.001 | Acc: 39.000% 
002  01153 |Loss: 0.001 | Acc: 39.000% 
002  01217 |Loss: 0.001 | Acc: 39.000% 
002  01281 |Loss: 0.000 | Acc: 40.000% 
002  01345 |Loss: 0.000 | Acc: 40.000% 
002  01409 |Loss: 0.000 | Acc: 39.000% 
002  01473 |Loss: 0.000 | Acc: 39.000% 
002  01537 |Loss: 0.000 | Acc: 40.000% 
002  01601 |Loss: 0.000 | Acc: 40.000% 
002  01665 |Loss: 0.000 | Acc: 40.000% 
002  01729 |Loss: 0.000 | Acc: 40.000% 
002  01793 |Loss: 0.000 | Acc: 40.000% 
002  01857 |Loss: 0.000 | Acc: 40.000% 
002  01921 |Loss: 0.000 | Acc: 40.000% 
002  01985 |Loss: 0.000 | Acc: 40.000% 
002  02049 |Loss: 0.000 | Acc: 40.000% 
002  02113 |Loss: 0.000 | Acc: 40.000% 
002  02177 |Loss: 0.000 | Acc: 40.000% 
002  02241 |Loss: 0.000 | Acc: 40.000% 
002  02305 |Loss: 0.000 | Acc: 41.000% 
002  02369 |Loss: 0.000 | Acc: 40.000% 
002  02433 |Loss: 0.000 | Acc: 40.000% 
002  02497 |Loss: 0.000 | Acc: 40.000% 
002  02561 |Loss: 0.000 | Acc: 41.000% 
002  02625 |Loss: 0.000 | Acc: 40.000% 
002  02689 |Loss: 0.000 | Acc: 40.000% 
002  02753 |Loss: 0.000 | Acc: 40.000% 
002  02817 |Loss: 0.000 | Acc: 41.000% 
002  02881 |Loss: 0.000 | Acc: 41.000% 
002  02945 |Loss: 0.000 | Acc: 40.000% 
002  03009 |Loss: 0.000 | Acc: 41.000% 
002  03073 |Loss: 0.000 | Acc: 41.000% 
002  03137 |Loss: 0.000 | Acc: 41.000% 
002  03201 |Loss: 0.000 | Acc: 41.000% 
002  03265 |Loss: 0.000 | Acc: 41.000% 
002  03329 |Loss: 0.000 | Acc: 41.000% 
002  03393 |Loss: 0.000 | Acc: 41.000% 
002  03457 |Loss: 0.000 | Acc: 41.000% 
002  03521 |Loss: 0.000 | Acc: 41.000% 
002  03585 |Loss: 0.000 | Acc: 41.000% 
002  03649 |Loss: 0.000 | Acc: 41.000% 
002  03713 |Loss: 0.000 | Acc: 41.000% 
002  03777 |Loss: 0.000 | Acc: 41.000% 
002  03841 |Loss: 0.000 | Acc: 41.000% 
002  03905 |Loss: 0.000 | Acc: 41.000% 
002  03969 |Loss: 0.000 | Acc: 41.000% 
002  04033 |Loss: 0.000 | Acc: 41.000% 
002  04097 |Loss: 0.000 | Acc: 41.000% 
002  04161 |Loss: 0.000 | Acc: 41.000% 
002  04225 |Loss: 0.000 | Acc: 41.000% 
002  04289 |Loss: 0.000 | Acc: 41.000% 
002  04353 |Loss: 0.000 | Acc: 41.000% 
002  04417 |Loss: 0.000 | Acc: 41.000% 
