002  07809 |Loss: 0.000 | Acc: 33.000% 
002  07937 |Loss: 0.000 | Acc: 33.000% 
002  08065 |Loss: 0.000 | Acc: 33.000% 
002  08193 |Loss: 0.000 | Acc: 34.000% 
002  08321 |Loss: 0.000 | Acc: 34.000% 
002  08449 |Loss: 0.000 | Acc: 34.000% 
002  08577 |Loss: 0.000 | Acc: 34.000% 
002  08705 |Loss: 0.000 | Acc: 34.000% 
002  08833 |Loss: 0.000 | Acc: 34.000% 
002  08961 |Loss: 0.000 | Acc: 33.000% 
002  09089 |Loss: 0.000 | Acc: 33.000% 
002  09217 |Loss: 0.000 | Acc: 33.000% 
002  09345 |Loss: 0.000 | Acc: 33.000% 
002  09473 |Loss: 0.000 | Acc: 33.000% 
002  09601 |Loss: 0.000 | Acc: 33.000% 
002  09729 |Loss: 0.000 | Acc: 33.000% 
002  09857 |Loss: 0.000 | Acc: 33.000% 
002  09985 |Loss: 0.000 | Acc: 33.000% 
002  10113 |Loss: 0.000 | Acc: 33.000% 
002  10241 |Loss: 0.000 | Acc: 33.000% 
002  10369 |Loss: 0.000 | Acc: 33.000% 
002  10497 |Loss: 0.000 | Acc: 33.000% 
002  10625 |Loss: 0.000 | Acc: 33.000% 
002  10753 |Loss: 0.000 | Acc: 33.000% 
002  10881 |Loss: 0.000 | Acc: 33.000% 
002  11009 |Loss: 0.000 | Acc: 33.000% 
002  11137 |Loss: 0.000 | Acc: 33.000% 
002  11265 |Loss: 0.000 | Acc: 33.000% 
002  11393 |Loss: 0.000 | Acc: 33.000% 
002  11521 |Loss: 0.000 | Acc: 33.000% 
002  11649 |Loss: 0.000 | Acc: 33.000% 
002  11777 |Loss: 0.000 | Acc: 33.000% 
002  11905 |Loss: 0.000 | Acc: 33.000% 
002  12033 |Loss: 0.000 | Acc: 33.000% 
002  12161 |Loss: 0.000 | Acc: 33.000% 
002  12289 |Loss: 0.000 | Acc: 33.000% 
002  12417 |Loss: 0.000 | Acc: 33.000% 
002  12545 |Loss: 0.000 | Acc: 33.000% 
002  12673 |Loss: 0.000 | Acc: 33.000% 
002  12801 |Loss: 0.000 | Acc: 33.000% 
002  12929 |Loss: 0.000 | Acc: 33.000% 
002  13057 |Loss: 0.000 | Acc: 33.000% 
002  13185 |Loss: 0.000 | Acc: 33.000% 
002  13313 |Loss: 0.000 | Acc: 33.000% 
002  13441 |Loss: 0.000 | Acc: 33.000% 
002  13569 |Loss: 0.000 | Acc: 33.000% 
002  13697 |Loss: 0.000 | Acc: 33.000% 
002  13825 |Loss: 0.000 | Acc: 33.000% 
002  13953 |Loss: 0.000 | Acc: 33.000% 
002  14081 |Loss: 0.000 | Acc: 33.000% 
002  14209 |Loss: 0.000 | Acc: 33.000% 
002  14337 |Loss: 0.000 | Acc: 33.000% 
002  14465 |Loss: 0.000 | Acc: 33.000% 
002  14593 |Loss: 0.000 | Acc: 33.000% 
002  14721 |Loss: 0.000 | Acc: 33.000% 
002  14849 |Loss: 0.000 | Acc: 33.000% 
002  14977 |Loss: 0.000 | Acc: 33.000% 
002  15105 |Loss: 0.000 | Acc: 33.000% 
002  15233 |Loss: 0.000 | Acc: 33.000% 
002  15361 |Loss: 0.000 | Acc: 33.000% 
002  15489 |Loss: 0.000 | Acc: 33.000% 
002  15617 |Loss: 0.000 | Acc: 34.000% 
002  15745 |Loss: 0.000 | Acc: 34.000% 
002  15873 |Loss: 0.000 | Acc: 34.000% 
002  16001 |Loss: 0.000 | Acc: 34.000% 
002  16129 |Loss: 0.000 | Acc: 34.000% 
002  16257 |Loss: 0.000 | Acc: 34.000% 
002  16385 |Loss: 0.000 | Acc: 33.000% 
002  16513 |Loss: 0.000 | Acc: 33.000% 
002  16641 |Loss: 0.000 | Acc: 33.000% 
002  16769 |Loss: 0.000 | Acc: 33.000% 
002  16897 |Loss: 0.000 | Acc: 33.000% 
002  17025 |Loss: 0.000 | Acc: 33.000% 
002  17153 |Loss: 0.000 | Acc: 33.000% 
002  17281 |Loss: 0.000 | Acc: 33.000% 
002  17409 |Loss: 0.000 | Acc: 33.000% 
002  17537 |Loss: 0.000 | Acc: 33.000% 
002  17665 |Loss: 0.000 | Acc: 34.000% 
002  17793 |Loss: 0.000 | Acc: 34.000% 
002  17921 |Loss: 0.000 | Acc: 34.000% 
002  18049 |Loss: 0.000 | Acc: 34.000% 
002  18177 |Loss: 0.000 | Acc: 34.000% 
002  18305 |Loss: 0.000 | Acc: 34.000% 
002  18433 |Loss: 0.000 | Acc: 34.000% 
002  18561 |Loss: 0.000 | Acc: 34.000% 
002  18689 |Loss: 0.000 | Acc: 34.000% 
002  18817 |Loss: 0.000 | Acc: 34.000% 
002  18945 |Loss: 0.000 | Acc: 34.000% 
002  19073 |Loss: 0.000 | Acc: 34.000% 
002  19201 |Loss: 0.000 | Acc: 34.000% 
002  19329 |Loss: 0.000 | Acc: 34.000% 
002  19457 |Loss: 0.000 | Acc: 34.000% 
002  19585 |Loss: 0.000 | Acc: 34.000% 
002  19713 |Loss: 0.000 | Acc: 34.000% 
002  19841 |Loss: 0.000 | Acc: 34.000% 
002  19969 |Loss: 0.000 | Acc: 34.000% 
002  20097 |Loss: 0.000 | Acc: 34.000% 
002  20225 |Loss: 0.000 | Acc: 34.000% 
002  20353 |Loss: 0.000 | Acc: 34.000% 
002  20481 |Loss: 0.000 | Acc: 34.000% 
002  20609 |Loss: 0.000 | Acc: 34.000% 
002  20737 |Loss: 0.000 | Acc: 34.000% 
002  20865 |Loss: 0.000 | Acc: 34.000% 
002  20993 |Loss: 0.000 | Acc: 34.000% 
002  21121 |Loss: 0.000 | Acc: 34.000% 
002  21249 |Loss: 0.000 | Acc: 34.000% 
002  21377 |Loss: 0.000 | Acc: 34.000% 
002  21505 |Loss: 0.000 | Acc: 34.000% 
002  21633 |Loss: 0.000 | Acc: 34.000% 
002  21761 |Loss: 0.000 | Acc: 34.000% 
002  21889 |Loss: 0.000 | Acc: 34.000% 
002  22017 |Loss: 0.000 | Acc: 34.000% 
002  22145 |Loss: 0.000 | Acc: 34.000% 
002  22273 |Loss: 0.000 | Acc: 34.000% 
002  22401 |Loss: 0.000 | Acc: 34.000% 
002  22529 |Loss: 0.000 | Acc: 34.000% 
002  22657 |Loss: 0.000 | Acc: 34.000% 
002  22785 |Loss: 0.000 | Acc: 34.000% 
002  22913 |Loss: 0.000 | Acc: 34.000% 
002  23041 |Loss: 0.000 | Acc: 34.000% 
002  23169 |Loss: 0.000 | Acc: 34.000% 
002  23297 |Loss: 0.000 | Acc: 34.000% 
002  23425 |Loss: 0.000 | Acc: 34.000% 
002  23553 |Loss: 0.000 | Acc: 34.000% 
002  23681 |Loss: 0.000 | Acc: 34.000% 
002  23809 |Loss: 0.000 | Acc: 34.000% 
002  23937 |Loss: 0.000 | Acc: 34.000% 
002  24065 |Loss: 0.000 | Acc: 34.000% 
002  24193 |Loss: 0.000 | Acc: 34.000% 
002  24321 |Loss: 0.000 | Acc: 34.000% 
002  24449 |Loss: 0.000 | Acc: 34.000% 
002  24577 |Loss: 0.000 | Acc: 34.000% 
002  24705 |Loss: 0.000 | Acc: 34.000% 
002  24833 |Loss: 0.000 | Acc: 34.000% 
002  24961 |Loss: 0.000 | Acc: 34.000% 
002  25089 |Loss: 0.000 | Acc: 34.000% 
002  25217 |Loss: 0.000 | Acc: 34.000% 
002  25345 |Loss: 0.000 | Acc: 34.000% 
002  25473 |Loss: 0.000 | Acc: 34.000% 
002  25601 |Loss: 0.000 | Acc: 34.000% 
002  25729 |Loss: 0.000 | Acc: 34.000% 
002  25857 |Loss: 0.000 | Acc: 34.000% 
002  25985 |Loss: 0.000 | Acc: 34.000% 
002  26113 |Loss: 0.000 | Acc: 34.000% 
002  26241 |Loss: 0.000 | Acc: 34.000% 
002  26369 |Loss: 0.000 | Acc: 34.000% 
002  26497 |Loss: 0.000 | Acc: 34.000% 
002  26625 |Loss: 0.000 | Acc: 34.000% 
002  26753 |Loss: 0.000 | Acc: 34.000% 
002  26881 |Loss: 0.000 | Acc: 34.000% 
002  27009 |Loss: 0.000 | Acc: 34.000% 
002  27137 |Loss: 0.000 | Acc: 34.000% 
002  27265 |Loss: 0.000 | Acc: 34.000% 
002  27393 |Loss: 0.000 | Acc: 34.000% 
002  27521 |Loss: 0.000 | Acc: 34.000% 
002  27649 |Loss: 0.000 | Acc: 34.000% 
002  27777 |Loss: 0.000 | Acc: 34.000% 
002  27905 |Loss: 0.000 | Acc: 34.000% 
002  28033 |Loss: 0.000 | Acc: 34.000% 
002  28161 |Loss: 0.000 | Acc: 34.000% 
002  28289 |Loss: 0.000 | Acc: 34.000% 
002  28417 |Loss: 0.000 | Acc: 34.000% 
002  28545 |Loss: 0.000 | Acc: 34.000% 
002  28673 |Loss: 0.000 | Acc: 34.000% 
002  28710 |Loss: 0.000 | Acc: 34.000% 
003  00257 |Loss: 0.589 | Acc: 35.000% 
003  00385 |Loss: 0.005 | Acc: 35.000% 
003  00513 |Loss: 0.002 | Acc: 35.000% 
003  00641 |Loss: 0.002 | Acc: 35.000% 
003  00769 |Loss: 0.001 | Acc: 35.000% 
003  00897 |Loss: 0.001 | Acc: 36.000% 
003  01025 |Loss: 0.001 | Acc: 35.000% 
003  01153 |Loss: 0.001 | Acc: 34.000% 
003  01281 |Loss: 0.001 | Acc: 35.000% 
003  01409 |Loss: 0.001 | Acc: 35.000% 
003  01537 |Loss: 0.000 | Acc: 34.000% 
003  01665 |Loss: 0.000 | Acc: 35.000% 
003  01793 |Loss: 0.000 | Acc: 35.000% 
003  01921 |Loss: 0.000 | Acc: 35.000% 
003  02049 |Loss: 0.000 | Acc: 35.000% 
003  02177 |Loss: 0.000 | Acc: 35.000% 
003  02305 |Loss: 0.000 | Acc: 35.000% 
003  02433 |Loss: 0.000 | Acc: 35.000% 
003  02561 |Loss: 0.000 | Acc: 35.000% 
003  02689 |Loss: 0.000 | Acc: 35.000% 
003  02817 |Loss: 0.000 | Acc: 35.000% 
003  02945 |Loss: 0.000 | Acc: 35.000% 
003  03073 |Loss: 0.000 | Acc: 35.000% 
003  03201 |Loss: 0.000 | Acc: 36.000% 
003  03329 |Loss: 0.000 | Acc: 36.000% 
003  03457 |Loss: 0.000 | Acc: 36.000% 
003  03585 |Loss: 0.000 | Acc: 36.000% 
003  03713 |Loss: 0.000 | Acc: 36.000% 
003  03841 |Loss: 0.000 | Acc: 36.000% 
003  03969 |Loss: 0.000 | Acc: 36.000% 
003  04097 |Loss: 0.000 | Acc: 36.000% 
003  04225 |Loss: 0.000 | Acc: 36.000% 
003  04353 |Loss: 0.000 | Acc: 36.000% 
003  04481 |Loss: 0.000 | Acc: 36.000% 
003  04609 |Loss: 0.000 | Acc: 36.000% 
003  04737 |Loss: 0.000 | Acc: 36.000% 
003  04865 |Loss: 0.000 | Acc: 36.000% 
003  04993 |Loss: 0.000 | Acc: 36.000% 
003  05121 |Loss: 0.000 | Acc: 36.000% 
003  05249 |Loss: 0.000 | Acc: 36.000% 
003  05377 |Loss: 0.000 | Acc: 36.000% 
003  05505 |Loss: 0.000 | Acc: 36.000% 
003  05633 |Loss: 0.000 | Acc: 36.000% 
003  05761 |Loss: 0.000 | Acc: 36.000% 
003  05889 |Loss: 0.000 | Acc: 36.000% 
003  06017 |Loss: 0.000 | Acc: 36.000% 
003  06145 |Loss: 0.000 | Acc: 36.000% 
003  06273 |Loss: 0.000 | Acc: 36.000% 
003  06401 |Loss: 0.000 | Acc: 36.000% 
003  06529 |Loss: 0.000 | Acc: 36.000% 
003  06657 |Loss: 0.000 | Acc: 36.000% 
003  06785 |Loss: 0.000 | Acc: 37.000% 
003  06913 |Loss: 0.000 | Acc: 37.000% 
003  07041 |Loss: 0.000 | Acc: 36.000% 
003  07169 |Loss: 0.000 | Acc: 36.000% 
003  07297 |Loss: 0.000 | Acc: 36.000% 
003  07425 |Loss: 0.000 | Acc: 36.000% 
003  07553 |Loss: 0.000 | Acc: 36.000% 
003  07681 |Loss: 0.000 | Acc: 36.000% 
003  07809 |Loss: 0.000 | Acc: 36.000% 
